Name,Z,Width_Avg,Width_SD,Width_Min,Width_Max,Halfwidth_Avg,Halfwidth_SD,Halfwidth_Min,Halfwidth_Max,RightHalfwidth_Avg,RightHalfwidth_SD,RightHalfwidth_Min,RightHalfwidth_Max,LeftHalfwidth_Avg,LeftHalfwidth_SD,LeftHalfwidth_Min,LeftHalfwidth_Max,AxisOffset,AxisTilt,AxisCurvature,SurfaceCoverage_Photoresist_Avg
shape_analysis,0.2835,0.0319077,0.0146588,1.67343e-17,0.0492975,0.0159538,0.0073294,0,0.0246488,0.0159538,0.0073294,1.67343e-17,0.0246488,0.0159538,0.0073294,0,0.0246488,8.36713e-18,0,0,1
shape_analysis,0.2845,0.0319077,0.0146588,1.67343e-17,0.0492975,0.0159538,0.0073294,0,0.0246488,0.0159538,0.0073294,1.67343e-17,0.0246488,0.0159538,0.0073294,0,0.0246488,8.36713e-18,0,0,1
shape_analysis,0.2855,0.0319077,0.0146588,1.67343e-17,0.0492975,0.0159538,0.0073294,0,0.0246488,0.0159538,0.0073294,1.67343e-17,0.0246488,0.0159538,0.0073294,0,0.0246488,8.36713e-18,0,0,1
shape_analysis,0.2865,0.0319077,0.0146588,1.67343e-17,0.0492975,0.0159538,0.0073294,0,0.0246488,0.0159538,0.0073294,1.67343e-17,0.0246488,0.0159538,0.0073294,0,0.0246488,8.36713e-18,0,0,1
shape_analysis,0.2875,0.0319077,0.0146588,1.67343e-17,0.0492975,0.0159538,0.0073294,0,0.0246488,0.0159538,0.0073294,1.67343e-17,0.0246488,0.0159538,0.0073294,0,0.0246488,8.36713e-18,0,0,1
shape_analysis,0.2885,0.0319077,0.0146588,1.67343e-17,0.0492975,0.0159538,0.0073294,0,0.0246488,0.0159538,0.0073294,1.67343e-17,0.0246488,0.0159538,0.0073294,0,0.0246488,8.36713e-18,0,0,1
shape_analysis,0.2895,0.0319077,0.0146588,1.67343e-17,0.0492975,0.0159538,0.0073294,0,0.0246488,0.0159538,0.0073294,1.67343e-17,0.0246488,0.0159538,0.0073294,0,0.0246488,8.36713e-18,0,0,1
shape_analysis,0.2905,0.0319077,0.0146588,1.67343e-17,0.0492975,0.0159538,0.0073294,0,0.0246488,0.0159538,0.0073294,1.67343e-17,0.0246488,0.0159538,0.0073294,0,0.0246488,8.36713e-18,0,0,1
shape_analysis,0.2915,0.0319077,0.0146588,1.67343e-17,0.0492975,0.0159538,0.0073294,0,0.0246488,0.0159538,0.0073294,1.67343e-17,0.0246488,0.0159538,0.0073294,0,0.0246488,8.36713e-18,0,0,1
shape_analysis,0.2925,0.0319077,0.0146588,1.67343e-17,0.0492975,0.0159538,0.0073294,0,0.0246488,0.0159538,0.0073294,1.67343e-17,0.0246488,0.0159538,0.0073294,0,0.0246488,8.36713e-18,0,2.44895e-29,1
shape_analysis,0.2935,0.0319077,0.0146588,1.67343e-17,0.0492975,0.0159538,0.0073294,0,0.0246488,0.0159538,0.0073294,1.67343e-17,0.0246488,0.0159538,0.0073294,0,0.0246488,8.36713e-18,0,1.83671e-29,1
shape_analysis,0.2945,0.0319077,0.0146588,1.67343e-17,0.0492975,0.0159538,0.0073294,0,0.0246488,0.0159538,0.0073294,1.67343e-17,0.0246488,0.0159538,0.0073294,0,0.0246488,8.36713e-18,0,1.22447e-29,1
shape_analysis,0.2955,0.0319077,0.0146588,1.67343e-17,0.0492975,0.0159538,0.0073294,0,0.0246488,0.0159538,0.0073294,1.67343e-17,0.0246488,0.0159538,0.0073294,0,0.0246488,8.36713e-18,0,1.31194e-29,1
shape_analysis,0.2965,0.0319077,0.0146588,1.67343e-17,0.0492975,0.0159538,0.0073294,0,0.0246488,0.0159538,0.0073294,1.67343e-17,0.0246488,0.0159538,0.0073294,0,0.0246488,8.36713e-18,0,0,1
shape_analysis,0.2975,0.0319077,0.0146588,1.67343e-17,0.0492975,0.0159538,0.0073294,0,0.0246488,0.0159538,0.0073294,1.67343e-17,0.0246488,0.0159538,0.0073294,0,0.0246488,8.36713e-18,0,0,1
shape_analysis,0.2985,0.0319077,0.0146588,1.67343e-17,0.0492975,0.0159538,0.0073294,0,0.0246488,0.0159538,0.0073294,1.67343e-17,0.0246488,0.0159538,0.0073294,0,0.0246488,8.36713e-18,0,0,1
